Bot,Events,Fights,W,L,%,Points,KOs,KOd,Avg Time (s),Last Event,Category,Weapon,Drive
The Tactical Toucan,1,3,1,2,0.333,-2.89,1,2,71,6/24/2023,12lb,Grappler,2WD
DeeVee,1,3,1,2,0.333,-2.91,1,0,126,3/18/2023,12lb,Vertical Spinner,2WD
YeeHaw,1,2,1,1,0.5,-2.92,0,0,180,11/12/2022,12lb,Drum,4WD
Widdly Wah,1,3,1,2,0.333,-2.93,0,2,73.8,6/24/2023,12lb,Vertical Spinner,4WD
Ankle Grinder,1,3,1,2,0.333,-3,1,1,118.3,12/18/2021,12lb,Vertical Spinner,2WD
Honker,1,3,1,2,0.333,-3,1,2,102,5/15/2021,12lb,Hammersaw,4WD
Warmachine,1,3,1,2,0.333,-3,1,2,89.7,7/24/2021,12lb,Flamethrower,2WD
The Necromancer,2,5,1,4,0.2,-3,1,2,118.6,12/18/2021,12lb,Drum,2WD
Insubordination,1,3,1,2,0.333,-3,1,2,36.3,3/26/2022,12lb,Vertical Spinner,2WD
Flambé Con Queso,1,3,1,2,0.333,-3,0,1,162.7,3/26/2022,12lb,Flamethrower,4WD
Attrition,1,2,1,1,0.5,-3,1,1,56.5,7/16/2022,12lb,Drum,4WD
Otus,2,5,1,4,0.2,-3,1,2,96,12/17/2022,12lb,Drum,2WD
Tartarus,2,5,1,4,0.2,-3,0,2,131,9/30/2023,12lb,Vertical Spinner,4WD
Spill The Beans,1,2,1,1,0.5,-3,1,1,110.5,1/28/2023,12lb,Midcutter,2WD
Doomedba,1,3,1,2,0.333,-3,1,2,102.5,3/18/2023,12lb,Lifter,2WD
Florence,1,2,1,1,0.5,-3,1,1,139,3/18/2023,12lb,Flail,2WD
